Food Product,Main Ingredient,Sweetener,Fat/Oil,Seasoning,Allergens,Prediction,source
Large Tossed Salad,Salads,None,None,"Lettuce, tomato, mushroom, mozzarella, onion, bell pepper, green and black olives, and house vinaigrette. Salad ingredients prepared fresh daily. Served with your choice of our famous homemade house vinaigrette dressing, creamy Italian or ranch dressing.",Onion,Contains,uber_eats
Chef Salad,Salads,None,None,"Lettuce, feta, bell pepper, sun-dried tomato, black olives, onion, ham, and house vinaigrette. Salad ingredients prepared fresh daily. Served with your choice of our famous homemade house vinaigrette dressing, creamy Italian or ranch dressing.",Onion,Contains,uber_eats
Bleu Cheese Salad,Salads,None,None,"Lettuce, tomato, onion, bleu cheese, and house vinaigrette dressing. Salad ingredients prepared fresh daily. Served with your choice of our famous homemade house vinaigrette dressing, creamy Italian or ranch dressing.","Dairy, Onion",Contains,uber_eats
Grilled Chicken Salad,Salads,None,None,"Lettuce, tomato, onion, green olives, mozzarella, and house vinaigrette dressing. Salad ingredients prepared fresh daily. Served with your choice of our famous homemade house vinaigrette dressing, creamy Italian or ranch dressing.",Onion,Contains,uber_eats
Antipasto Salad,Salads,None,None,"Lettuce, ham, salami, provolone, tomato, mushroom, onion, pimento, green and black olives, banana peppers, house vinaigrette dressing feta cheese. Salad ingredients prepared fresh daily. Served with your choice of our famous homemade house vinaigrette dressing, creamy Italian or ranch dressing.","Dairy, Onion",Contains,uber_eats
Meatball Parmigiana Sub,10'' Hot Subs,None,None,Served with melted cheese.,Dairy,Contains,uber_eats
Sausage Parmigiana Sub,10'' Hot Subs,None,None,Served with melted cheese.,Dairy,Contains,uber_eats
"Sausage, Pepper, Onion Sauce Sub",10'' Hot Subs,None,None,,Onion,Contains,uber_eats
Hot Italian Sub,10'' Hot Subs,None,None,"Ham, provolone, lettuce, tomato, onion, and mayonnaise.","Eggs, Onion",Contains,uber_eats
"Sausage, Pepper Onion Parmigiana Sub",10'' Hot Subs,None,None,Served with parmigiana and sauce.,Onion,Contains,uber_eats
"Spaghetti Garlic, Olive Oil Pecorino Cheese Pasta",Pastas,None,None,Include garlic bread.,"Dairy, Garlic, Wheat",Contains,uber_eats
Spaghetti Marinara Sauce Pasta,Pastas,None,None,Include garlic bread.,"Garlic, Wheat",Contains,uber_eats
Spaghetti Mushroom Marinara Sauce Pasta,Pastas,None,None,Include garlic bread.,"Garlic, Wheat",Contains,uber_eats
Spaghetti Meatsauce Pasta,Pastas,None,None,Include garlic bread.,"Garlic, Wheat",Contains,uber_eats
Spaghetti Mushroom Meat Sauce Pasta,Pastas,None,None,Include garlic bread.,"Garlic, Wheat",Contains,uber_eats
Spaghetti Meatballs or Sausage Pasta,Pastas,None,None,Include garlic bread.,"Garlic, Wheat",Contains,uber_eats
"Spaghetti Garlic, Olive Oil Anchovy Pasta",Pastas,None,None,Include garlic bread.,"Fish, Garlic, Wheat",Contains,uber_eats
Spaghetti Shrimp Marinara Pasta,Pastas,None,None,Include garlic bread.,"Garlic, Shellfish, Wheat",Contains,uber_eats
Cheese Ravioli Parmigiana Pasta,Pastas,None,None,Include garlic bread.,"Dairy, Garlic, Wheat",Contains,uber_eats
Cheese Ravioli Spinach Alfredo Pasta,Pastas,None,None,Include garlic bread.,"Dairy, Garlic, Wheat",Contains,uber_eats
Meat Ravioli Pasta,Pastas,None,None,Include garlic bread.,"Garlic, Wheat",Contains,uber_eats
Baked Ziti Pasta with Ricotta Parmigiana,Pastas,None,None,Include garlic bread.,"Garlic, Wheat",Contains,uber_eats
Baked Ziti Pasta with Pepperoni,Pastas,None,None,Include garlic bread.,"Garlic, Wheat",Contains,uber_eats
Baked Ziti Pasta with Pepperoni Sliced Sausage,Pastas,None,None,Include garlic bread.,"Garlic, Wheat",Contains,uber_eats
Meat Lasagna Pasta,Pastas,None,None,Include garlic bread.,"Garlic, Wheat",Contains,uber_eats
Fettuccini Alfredo Pasta,Pastas,None,None,Include garlic bread.,"Garlic, Wheat",Contains,uber_eats
Fettuccini Chicken Pesto Alfredo Pasta,Pastas,None,None,"Mushroom, artichoke, and sun-dried tomato.","Tree Nuts, Wheat",Contains,uber_eats
Eggplant Parmigiana with Spaghetti Pasta,Pastas,None,None,Include garlic bread.,"Garlic, Wheat",Contains,uber_eats
Eggplant Spinach Mushroom Marinara Parmigiana Pasta,Pastas,None,None,Include garlic bread.,"Garlic, Wheat",Contains,uber_eats
Sausage Parmigiana with Spaghetti Pasta,Pastas,None,None,Include garlic bread.,"Garlic, Wheat",Contains,uber_eats
"Sausage, Peppers, Onions with Spaghetti Pasta",Pastas,None,None,Include garlic bread.,"Garlic, Wheat",Contains,uber_eats
"Sausage, Peppers, Onions Parmigiana with Spaghetti Pasta",Pastas,None,None,Include garlic bread.,"Garlic, Wheat",Contains,uber_eats
Meatball Parmigiana with Spaghetti Pasta,Pastas,None,None,Include garlic bread.,"Garlic, Wheat",Contains,uber_eats
Chicken Parmigiana with Spaghetti Pasta,Pastas,None,None,Include garlic bread.,"Garlic, Wheat",Contains,uber_eats
Fettuccini Chiken Alfredo,Pastas,None,None,Include garlic bread.,"Garlic, Wheat",Contains,uber_eats
"10"" Personal Cheese Pizza",New York Style Thin Crust Cheese Pizza,None,None,,Dairy,Contains,uber_eats
"14"" Medium Cheese Pizza",New York Style Thin Crust Cheese Pizza,None,None,,Dairy,Contains,uber_eats
16'' Large Cheese Pizza,New York Style Thin Crust Cheese Pizza,None,None,,Dairy,Contains,uber_eats
"18"" Extra Large Cheese Pizza",New York Style Thin Crust Cheese Pizza,None,None,,Dairy,Contains,uber_eats
"12"" x 18"" Cheese Pizza",Sicilian Deep Dish Cheese Pizza,None,None,,Dairy,Contains,uber_eats
Half Cheese Pizza,Sicilian Deep Dish Cheese Pizza,None,None,,Dairy,Contains,uber_eats
 Vegetarian Pizza,Specialty Pizza,None,None,"Mushroom, mozzarella, onion, bell pepper, fresh garlic, green olives, black olives, and tomato, artichoke.","Garlic, Onion",Contains,uber_eats
Sicilian Deep Dish Vegetarian Pizza,Specialty Pizza,None,None,"Feeds 6-8. Mushroom, mozzarella, onion, bell pepper, fresh garlic, green olives, black olives, tomato, and artichoke.","Garlic, Onion",Contains,uber_eats
Half Sicilian Deep Dish Vegetarian Pizza,Specialty Pizza,None,None,"Mushroom, mozzarella, onion, bell pepper, fresh garlic, green olives, black olives, tomato, and artichoke.","Garlic, Onion",Contains,uber_eats
White Pizza,Specialty Pizza,None,None,"Ricotta, mozzarella, fresh garlic, oregano, and onion.","Garlic, Onion",Contains,uber_eats
Sicilian Deep Dish White Pizza,Specialty Pizza,None,None,"Feeds 6-8. Ricotta, mozzarella, fresh garlic, oregano, and onion.","Garlic, Onion",Contains,uber_eats
Half Sicilian Deep Dish White Pizza,Specialty Pizza,None,None,"Ricotta, mozzarella, fresh garlic, oregano, and onion.","Garlic, Onion",Contains,uber_eats
Spinach Mushroom Pizza,Specialty Pizza,None,None,"Spinach, mozzarella, mushroom, fresh garlic, feta, onion, and marinara sauce.","Garlic, Onion",Contains,uber_eats
Sicilian Deep Dish Spinach Mushroom Pizza,Specialty Pizza,None,None,"Feeds 6-8. Spinach, mozzarella, mushroom, fresh garlic, feta, onion, and marinara sauce.","Garlic, Onion",Contains,uber_eats
Half Sicilian Deep Dish Spinach Mushroom Pizza,Specialty Pizza,None,None,"Spinach, mozzarella, mushroom, fresh garlic, feta, onion, and marinara sauce.","Garlic, Onion",Contains,uber_eats
 Salvatore's Special Pizza,Specialty Pizza,None,None,"Pepperoni, mozzarella, mushroom, Italian sausage, onion, bell pepper, green, and black olives.",Onion,Contains,uber_eats
Sicilian Deep Dish Salvatore's Special Pizza,Specialty Pizza,None,None,"Feeds 6-8. Pepperoni, mozzarella, mushroom, Italian sausage, onion, bell pepper, green, and black olives.",Onion,Contains,uber_eats
Half Sicilian Deep Dish Salvatore's Special Pizza,Specialty Pizza,None,None,"Pepperoni, mozzarella, mushroom, Italian sausage, onion, bell pepper, green, and black olives.",Onion,Contains,uber_eats
Cheese Roll ,Calzones,None,None,Served with marinara sauce on the side.,Dairy,Contains,uber_eats
Pesto Sauce Calzone,Calzones,None,None,"Homemade pesto with pecorino, ricotta, and mozzarella cheese. Served with marinara sauce on the side.","Dairy, Tree Nuts",Contains,uber_eats
Veggie Calzone,Calzones,None,None,"Artichoke, mushroom, mozzarella, ricotta, onion bell pepper, fresh garlic, green and black olives, tomato. Served with marinara sauce on the side.","Garlic, Onion",Contains,uber_eats
Garden Veggie Calzone,Calzones,None,None,"Artichoke, feta, sun-dried tomato, pesto sauce, mozzarella. Served with marinara sauce on the side.",Tree Nuts,Contains,uber_eats
Salvatore's Special Calzone,Calzones,None,None,"Pepperoni, mozzarella, ricotta, mushroom, Italian sausage, onion, bell pepper, green and black olives. Served with marinara sauce on the side.",Onion,Contains,uber_eats
Kids Spaghetti Pasta with Butter,Children's Pasta,None,None,Under 12 year,"Dairy, Wheat",Contains,uber_eats
Kids Spaghetti Marinara Pasta,Children's Pasta,None,None,Under 12 year,Wheat,Contains,uber_eats
Kids Spaghetti Pasta with Meat Sauce,Children's Pasta,None,None,Under 12 year,Wheat,Contains,uber_eats
Kids Spaghetti Pasta with Meatball,Children's Pasta,None,None,Under 12 year,Wheat,Contains,uber_eats
Kids Fettuccini Pasta with Alfredo Sauce,Children's Pasta,None,None,Under 12 year,Wheat,Contains,uber_eats
Family Salvatore's Special Calzone,Family Calzone,None,None,"Pepperoni, sausage, mushrooms, onion, bell pepper, green and black olives, mozzarella, and ricotta cheese. Served with marinara sauce.","Dairy, Onion",Contains,uber_eats
Char Grilled Chicken Tikka Masala,Picked for you,None,None,Chargrilled chicken morsels slow-cooked in a rich onion and tomato gravy with generous amounts of butter. Served with a side of aromatic basmati rice.,"Dairy, Onion",Contains,uber_eats
Char Grilled Cottage Cheese Tikka Masala,Picked for you,None,None,Chargrilled fresh cottage cheese cubes slow-cooked in a rich onion and tomato gravy with generous amounts of butter. Served with a side of aromatic basmati rice.,"Dairy, Onion",Contains,uber_eats
Awadhi Butter Chicken,Picked for you,None,None,"Tender chunks of char-grilled tandoori chicken in creamy and deliciously smooth butter, tomato, and cream-based gravy, spiced with ginger, garlic, and aromatic whole spices. Served with a side of aromatic basmati rice.","Dairy, Garlic",Contains,uber_eats
Char Grilled Chicken Tikka,Picked for you,None,None,"Succulent morsels of chicken, marinated in tandoori masala and yogurt, cooked in an Indian clay oven till char-grilled.",Dairy,Contains,uber_eats
Samosa Surprise Smash ,Appteizers,None,None,"Classic samosas, crushed and mixed with hot, sweet and tangy sauces, yogurt and topped with fresh cilantro and 'sev' ",Dairy,Contains,uber_eats
Cut Mirchi ,Appteizers,None,None,A fritter made with green chilies deep fried in gram flour batter.,"Legumes, Wheat",Contains,uber_eats
Char Grilled Chicken Tikka,Appteizers,None,None,"Succulent morsels of chicken, marinated in tandoori masala and yogurt, cooked in an Indian clay oven till char-grilled.",Dairy,Contains,uber_eats
Char Grilled Tandoori Chicken,Appteizers,None,None,Bone-in chicken marinated in yogurt and house spices cooked to perfection in an Indian clay oven.,Dairy,Contains,uber_eats
Andhra Chicken 65,Appteizers,None,None,"Succulent bits of house spiced chicken sautéed with chilies, coriander, mustard seed, and curry leaves.",Mustard,Contains,uber_eats
Bright Yellow Lentils ,Vegetarian Entrees,None,None,"Yellow lentils, cooked to perfection over a slow flame and tempered with 'ghee' and spices. Served with a side of aromatic basmati rice.",Dairy,Contains,uber_eats
Creamy Black Lentils ,Vegetarian Entrees,None,None,Black lentils are slow cooked till tender and tempered with Indian spices and finished with fresh cream. Served with a side of aromatic basmati rice.,Dairy,Contains,uber_eats
Chickpea Masala,Vegetarian Entrees,None,None,"""Whole chickpeas, slow-cooked in an onion and tomato curry with Indian whole spices. Served with a side of aromatic basmati rice.
""","Legumes, Onion",Contains,uber_eats
Cottage Cheese & Spinach Curry ,Vegetarian Entrees,None,None,"House-made cottage cheese cooked to perfection in thick ginger, garlic, and cream-spinach gravy. Served with a side of our aromatic basmati rice.","Dairy, Garlic",Contains,uber_eats
Char Grilled Cottage Cheese Tikka Masala,Vegetarian Entrees,None,None,Chargrilled fresh cottage cheese cubes slow-cooked in a rich onion and tomato gravy with generous amounts of butter. Served with a side of aromatic basmati rice.,"Dairy, Onion",Contains,uber_eats
Char Grilled Chicken Tikka Masala,Meat Entrees,None,None,Chargrilled chicken morsels slow-cooked in a rich onion and tomato gravy with generous amounts of butter. Served with a side of aromatic basmati rice.,"Dairy, Onion",Contains,uber_eats
Awadhi Butter Chicken,Meat Entrees,None,None,"Tender chunks of char-grilled tandoori chicken in creamy and deliciously smooth butter, tomato, and cream-based gravy, spiced with ginger, garlic, and aromatic whole spices. Served with a side of aromatic basmati rice.","Dairy, Garlic",Contains,uber_eats
Homestyle Lamb Curry,Meat Entrees,None,None,"Classic brown curry cooked to perfection with tomatoes, yogurt, saffron, whole spices, and succulent chunks of lamb. Served with a side of aromatic basmati rice.",Dairy,Contains,uber_eats
Tandoori Roti ,Breads,None,None,Whole wheat flat bread baked to perfection in an Indian clay oven.,Wheat,Contains,uber_eats
Garlic Blast Naan,Breads,None,None,House-made pulled and leavened dough pressed with finely chopped garlic and baked to perfection in an Indian clay oven.,Garlic,Contains,uber_eats
Chapati,Breads,None,None,Whole wheat flat bread baked to perfection over a pan,Wheat,Contains,uber_eats
Gulab Jamun,Desserts,None,None,Fried rich cottage cheese dumplings steeped in infused syrup,Dairy,Contains,uber_eats
Rice Pudding,Desserts,None,None,Broken rice slow cooked till thick and smooth in infused milk,Dairy,Contains,uber_eats
Carrot Halwa,Desserts,None,None,Fine grated carrots cooked till tender in milk and clarified butter infused with cardamom,Dairy,Contains,uber_eats
Hawkers Mango Yogurt Smoothie ,Beverages,None,None,Fine grated carrots cooked till tender in milk and clarified butter infused with cardamom,Dairy,Contains,uber_eats
Ham & Cheese Omelette,Picked for you,None,None,,Dairy,Contains,uber_eats
Double Bacon Cheeseburger (6 oz),Picked for you,None,None,"Comes with lettuce, tomato, onion, and pickle. All patties are 6 oz.",Onion,Contains,uber_eats
Double Cheeseburger,Picked for you,None,None,"Comes with lettuce, tomato, onion, and pickle. All patties are 6 oz.",Onion,Contains,uber_eats
Ham & Cheese Omelette,Omelettes,None,None,,Dairy,Contains,uber_eats
Hamburger (6 oz),Burgers,None,None,"Comes with lettuce, tomato, onion, and pickle. All patties are 6 oz.",Onion,Contains,uber_eats
Mushroom & Swiss Burger (6 oz),Burgers,None,None,"Comes with lettuce, tomato, onion, and pickle. All patties are 6 oz.","Onion, Wheat",Contains,uber_eats
Bacon Cheeseburger (6 oz),Burgers,None,None,"Comes with lettuce, tomato, onion, and pickle. All patties are 6 oz.",Onion,Contains,uber_eats
Double Cheeseburger,Burgers,None,None,"Comes with lettuce, tomato, onion, and pickle. All patties are 6 oz.",Onion,Contains,uber_eats
Double Bacon Cheeseburger (6 oz),Burgers,None,None,"Comes with lettuce, tomato, onion, and pickle. All patties are 6 oz.",Onion,Contains,uber_eats
Chili Cheese Fries (Small),Sides,None,None,,Dairy,Contains,uber_eats
Kid Breakfast One,Picked for you,None,None,One egg. One slice of bacon or sausage (link or patty). Age 10 and under only.,Eggs,Contains,uber_eats
Grits (Large),Extra Sides,None,None,,Corn,Contains,uber_eats
Kid Breakfast One,Kids',None,None,One egg. One slice of bacon or sausage (link or patty). Age 10 and under only.,Eggs,Contains,uber_eats
Two Chili Cheese Dogs,Picked for you,None,None,"2 pieces of Sneaky Pete's hot dogs topped with Sneaky Pete's famous chili, mustard, onions, and cheddar cheese sauce. The perfect combination.","Dairy, Mustard",Contains,uber_eats
Two Original Sneaky Pete's Dog,Picked for you,None,None,"Two sneaky Pete's hot dogs topped with mustard, onions, sauerkraut, and sneaky Pete's famous sauce.",Mustard,Contains,uber_eats
